2026-05-13 07:02:31.513 | INFO     | __main__       | run_daemon  :88 | Scheduled trigger    | [source: gps]
2026-05-13 07:02:31.525 | INFO     | GPSIngestor    | run         :82 | Ingestion started    | [url: https://transport.tallinn.ee/readfile.php?name=gps.txt]
2026-05-13 07:02:31.601 | INFO     | GPSIngestor    | run         :88 | Ingestion completed  | [saved_to: /app/data/raw/source=gps/date=2026-05-13/gps_20260513_070231.csv] | [size_mb: 0.02]
2026-05-13 07:03:01.607 | INFO     | __main__       | run_daemon  :88 | Scheduled trigger    | [source: gps]
2026-05-13 07:03:01.617 | INFO     | GPSIngestor    | run         :82 | Ingestion started    | [url: https://transport.tallinn.ee/readfile.php?name=gps.txt]
2026-05-13 07:03:01.708 | INFO     | GPSIngestor    | run         :88 | Ingestion completed  | [saved_to: /app/data/raw/source=gps/date=2026-05-13/gps_20260513_070301.csv] | [size_mb: 0.02]
2026-05-13 07:03:31.718 | INFO     | __main__       | run_daemon  :88 | Scheduled trigger    | [source: gps]
2026-05-13 07:03:31.730 | INFO     | GPSIngestor    | run         :82 | Ingestion started    | [url: https://transport.tallinn.ee/readfile.php?name=gps.txt]
2026-05-13 07:03:31.802 | INFO     | GPSIngestor    | run         :88 | Ingestion completed  | [saved_to: /app/data/raw/source=gps/date=2026-05-13/gps_20260513_070331.csv] | [size_mb: 0.02]
2026-05-13 07:04:01.810 | INFO     | __main__       | run_daemon  :88 | Scheduled trigger    | [source: gps]
2026-05-13 07:04:01.820 | INFO     | GPSIngestor    | run         :82 | Ingestion started    | [url: https://transport.tallinn.ee/readfile.php?name=gps.txt]
2026-05-13 07:04:01.911 | INFO     | GPSIngestor    | run         :88 | Ingestion completed  | [saved_to: /app/data/raw/source=gps/date=2026-05-13/gps_20260513_070401.csv] | [size_mb: 0.02]
2026-05-13 07:04:31.921 | INFO     | __main__       | run_daemon  :88 | Scheduled trigger    | [source: gps]
2026-05-13 07:04:31.932 | INFO     | GPSIngestor    | run         :82 | Ingestion started    | [url: https://transport.tallinn.ee/readfile.php?name=gps.txt]
